checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:16:58.953497+00:00,Zeno Debast,Sporting CP,Centre-Back,30000000,Zeno Debast,FC Famalicão - Sporting CP,"Worn, Signed",111,129,2026-09-25T00:00:00Z,zeno-debast-G20GVYTWk0O6yVSNG1g-vQ,https://mws.com/us/product/zeno-debast-G20GVYTWk0O6yVSNG1g-vQ
2026-09-19T09:16:58.953497+00:00,Davide Bartesaghi,AC Milan,Left-Back,18000000,Davide Bartesaghi,AC Milan - SL Benfica,Worn,166,191,2026-09-25T16:00:00Z,davide-bartesaghi-EG0gMQnEjUef6MOOoStLtQ,https://mws.com/us/product/davide-bartesaghi-EG0gMQnEjUef6MOOoStLtQ
2026-09-19T09:16:58.953497+00:00,Diego Moreira,RC Strasbourg Alsace,Left Midfield,18000000,Diego Moreira,AC Milan - SL Benfica,Issued,177,203,2026-09-25T16:00:00Z,diego-moreira-jYVOtJn_QUSKmx_4xRheyA,https://mws.com/us/product/diego-moreira-jYVOtJn_QUSKmx_4xRheyA
2026-09-19T09:16:58.953497+00:00,Lucas Stassin,AS Saint-Étienne,Centre-Forward,18000000,Lucas Stassin,RC Deportivo - Sevilla FC,"Worn, Signed",135,155,2026-09-26T11:00:00Z,lucas-stassin-AVYANPa9h0-dbXLssYcayg,https://mws.com/us/product/lucas-stassin-AVYANPa9h0-dbXLssYcayg
2026-09-19T09:16:58.953497+00:00,Abdul Fatawu,Leicester City,Right Winger,20000000,Abdul Fatawu ,Crystal Palace - Ipswich Town,"Worn, Signed",144,165,2026-09-27T14:00:00Z,abdul-fatawu-6qPgAjBAx02cXkkbWZJYpQ,https://mws.com/us/product/abdul-fatawu-6qPgAjBAx02cXkkbWZJYpQ
2026-09-19T09:16:58.953497+00:00,Julio Enciso,Brighton & Hove Albion,Attacking Midfield,22000000,Julio Enciso,Crystal Palace - Ipswich Town,"Worn, Signed",226,259,2026-09-27T14:00:00Z,julio-enciso-zCUmBKiZ_EOxlMXpOH-YlQ,https://mws.com/us/product/julio-enciso-zCUmBKiZ_EOxlMXpOH-YlQ
2026-09-19T09:16:58.953497+00:00,Archie Gray,Tottenham Hotspur,Right-Back,38000000,Archie Gray,Liverpool - Tottenham Hotspur,"Worn, Signed",139,159,2026-09-27T15:00:00Z,archie-gray-T5qIlFGVxEiPrI_bhRNszA,https://mws.com/us/product/archie-gray-T5qIlFGVxEiPrI_bhRNszA
2026-09-19T09:16:58.953497+00:00,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,Lucas Bergvall,Liverpool - Tottenham Hotspur,"Issued, Signed",151,173,2026-09-27T15:00:00Z,lucas-bergvall-gdMVksOjSUuGW-juQ86ASQ-34,https://mws.com/us/product/lucas-bergvall-gdMVksOjSUuGW-juQ86ASQ-34
2026-09-19T09:16:58.953497+00:00,Mateus Fernandes,Southampton FC,Central Midfield,32000000,Mateus Fernandes,Liverpool - Tottenham Hotspur,"Worn, Signed",138,158,2026-09-27T15:00:00Z,mateus-fernandes-tRuMwjc1cEi-ubYbuS-GkA,https://mws.com/us/product/mateus-fernandes-tRuMwjc1cEi-ubYbuS-GkA
2026-09-19T09:16:58.953497+00:00,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,Mathys Tel,Liverpool - Tottenham Hotspur,"Issued, Signed",35,41,2026-09-27T15:00:00Z,mathys-tel-TTqZ9UQHfE-36E8LmBED4g-75,https://mws.com/us/product/mathys-tel-TTqZ9UQHfE-36E8LmBED4g-75
2026-09-19T09:16:58.953497+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Brentford - Chelsea,"Issued, Signed",430,494,2026-09-27T17:00:00Z,estevao-8hrJcyFGkEy_MraYnBuDZQ,https://mws.com/us/product/estevao-8hrJcyFGkEy_MraYnBuDZQ
2026-09-19T09:16:58.953497+00:00,Geovany Quenda,Sporting CP,Right Winger,45000000,Geovany Quenda,Brentford - Chelsea,"Issued, Signed",172,197,2026-09-27T17:00:00Z,geovany-quenda-c-SiJxxBuUagQgAJXLPguA,https://mws.com/us/product/geovany-quenda-c-SiJxxBuUagQgAJXLPguA
2026-09-19T09:16:58.953497+00:00,Levi Colwill,Chelsea FC,Centre-Back,55000000,Levi Colwill,Brentford - Chelsea,"Worn, Signed",271,310,2026-09-27T17:00:00Z,levi-colwill-SOK5Psjb4kGOUvgfHnPxVw,https://mws.com/us/product/levi-colwill-SOK5Psjb4kGOUvgfHnPxVw
2026-09-19T09:16:58.953497+00:00,Valentín Barco,RC Strasbourg Alsace,Central Midfield,25000000,Valentín Barco,Brentford - Chelsea,"Worn, Signed",187,215,2026-09-27T17:00:00Z,valentin-barco-xzv-QXbfrEG1tz-xA1SDtQ,https://mws.com/us/product/valentin-barco-xzv-QXbfrEG1tz-xA1SDtQ
2026-09-19T09:16:58.953497+00:00,Jhon Durán,Aston Villa,Centre-Forward,35000000,Jhon Durán,AC Milan - SL Benfica,"Worn, Signed",262,300,2026-09-28T19:00:00Z,jhon-duran-yopQZZ00pkGDZVWclhF3yw,https://mws.com/us/product/jhon-duran-yopQZZ00pkGDZVWclhF3yw
2026-09-19T09:16:58.953497+00:00,Sindre Walle Egeli,FC Nordsjaelland,Right Winger,20000000,Sindre Walle Egeli,Ipswich Town - Arsenal,"Worn, Signed",138,158,2026-09-29T17:00:00Z,sindre-walle-egeli-FB8XuiQKEUqdnhVJlh4ILg,https://mws.com/us/product/sindre-walle-egeli-FB8XuiQKEUqdnhVJlh4ILg
2026-09-19T09:16:58.953497+00:00,El Hadji Malick Diouf,SK Slavia Prague,Left-Back,28000000,El Hadji Malick Diouf,Brentford - Chelsea,"Worn, Signed",50,57,2026-10-09T19:00:00Z,el-hadji-malick-diouf-oL47xm27b02ZjYUBrMp0gg,https://mws.com/us/product/el-hadji-malick-diouf-oL47xm27b02ZjYUBrMp0gg
