rank,name,team,position,market_value_eur,age,source_url,list_source_url
34,Malick Fofana,Olympique Lyon,Left Winger,30000000,19,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
35,Jobe Bellingham,Sunderland AFC,Central Midfield,30000000,19,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
36,Victor Froholdt,FC Copenhagen,Central Midfield,30000000,18,https://www.transfermarkt.com/victor-froholdt/profil/spieler/926993,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
37,Johan Manzambi,SC Freiburg,Attacking Midfield,30000000,19,https://www.transfermarkt.com/johan-manzambi/profil/spieler/927353,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
38,Vitor Reis,Manchester City,Centre-Back,30000000,18,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
39,Assane Diao,Como 1907,Left Winger,30000000,19,https://www.transfermarkt.com/assane-diao/profil/spieler/1061282,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
40,Jesús Rodríguez,Real Betis Balompié,Left Winger,30000000,19,https://www.transfermarkt.com/jesus-rodriguez/profil/spieler/1190411,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
41,Eliesse Ben Seghir,AS Monaco,Left Winger,28000000,19,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
42,Assan Ouédraogo,RB Leipzig,Central Midfield,28000000,18,https://www.transfermarkt.com/assan-ouedraogo/profil/spieler/897424,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
43,Arthur Vermeeren,RB Leipzig,Defensive Midfield,28000000,19,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
44,Konstantinos Karetsas,KRC Genk,Attacking Midfield,28000000,17,https://www.transfermarkt.com/konstantinos-karetsas/profil/spieler/990148,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
45,Aleksey Batrakov,Lokomotiv Moscow,Attacking Midfield,25000000,19,https://www.transfermarkt.com/aleksey-batrakov/profil/spieler/720286,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
46,Pietro Comuzzo,ACF Fiorentina,Centre-Back,25000000,19,https://www.transfermarkt.com/pietro-comuzzo/profil/spieler/746712,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
47,Marco Palestra,Atalanta BC,Right-Back,25000000,19,https://www.transfermarkt.com/marco-palestra/profil/spieler/895937,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
48,Ibrahim Maza,Hertha BSC,Attacking Midfield,25000000,19,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
