Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Răzvan Pașcalău,Cosenza Calcio,Fundaș central,125000,22,Italia,Serie C - Girone C,https://www.transfermarkt.com/razvan-pascalau/profil/spieler/709671,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Denis Lorint,Admira Wacker,Extremă dreapta,100000,20,Austria,2. Liga,https://www.transfermarkt.com/denis-lorint/profil/spieler/905561,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Denis Șandro,Sassuolo Primavera,Atacant central,100000,20,Italia,Primavera 1,https://www.transfermarkt.com/denis-sandro/profil/spieler/1100803,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Iustin Doicaru,Caykur Rizespor,Extremă dreapta,100000,19,Turcia,Süper Lig,https://www.transfermarkt.com/iustin-doicaru/profil/spieler/1050693,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Orlando Bita,Lentigione Calcio,Fundaș central,100000,20,Italia,Serie D - Girone D,https://www.transfermarkt.com/orlando-bita/profil/spieler/1297383,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Gabriele Boloca,UC AlbinoLeffe,Fundaș central,75000,25,Italia,Serie C - Girone A,https://www.transfermarkt.com/gabriele-boloca/profil/spieler/458614,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Andrei Anton,SSD Imperia 1923,Fundaș central,50000,23,Italia,Serie D - Girone A,https://www.transfermarkt.com/andrei-anton/profil/spieler/704729,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Florin Andone,CD Atlético Baleares,Atacant central,50000,33,Spania,Segunda Federación - Grupo III,https://www.transfermarkt.com/florin-andone/profil/spieler/177065,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Gabriel Dănuleasă,MFK Bytca,Fundaș central,50000,23,Slovacia,II. Liga,https://www.transfermarkt.com/gabriel-danuleasa/profil/spieler/666434,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/154
Krisztián Székely,Tiszafüredi VSE	,Mijlocaș central,50000,27,Ungaria,,https://www.transfermarkt.com/krisztian-szekely/profil/spieler/832462,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Liviu Antal,FK Zalgiris Vilnius,Extremă dreapta,50000,37,Lituania,Toplyga,https://www.transfermarkt.com/liviu-antal/profil/spieler/123256,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/98
Mădălin Țandără,ASD Digiesse PraiaTortora,Atacant central,50000,28,Italia,Serie D - Girone I,https://www.transfermarkt.com/madalin-tandara/profil/spieler/400829,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Patrick Vuc,1. FC Lokomotive Leipzig,Extremă dreapta,50000,22,Germania,Regionalliga Northeast,https://www.transfermarkt.com/patrick-vuc/profil/spieler/1028683,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Robert Drăgoi,Imolese Calcio 1919,Mijlocaș central,50000,18,Italia,,https://www.transfermarkt.com/robert-dragoi/profil/spieler/1234306,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Robert Jălade,Sevilla Atlético,Fundaș central,50000,21,Spania,Segunda Federación - Grupo IV,https://www.transfermarkt.com/robert-jalade/profil/spieler/1060645,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Tommaso Nistor,Mezzolara Calcio,Fundaș central,50000,19,Italia,Serie D - Girone E,https://www.transfermarkt.com/tommaso-nistor/profil/spieler/1001920,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
