Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Mihai-Sebastian Grecu,Harta SE,Fundaș,,39,Ungaria,,https://www.transfermarkt.com/mihai-sebastian-grecu/profil/spieler/403508,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Mihail Marinescu,Bracknell Town,Extremă dreapta,,21,Anglia,,https://www.transfermarkt.com/mihail-marinescu/profil/spieler/1428305,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Mihail Tutunaru,Leher TS Bremerhaven,Atacant central,,27,Germania,Bremenliga,https://www.transfermarkt.com/mihail-tutunaru/profil/spieler/1360788,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Mihaita Pocoaie,Hellas United,Mijlocaș,,26,Germania,,https://www.transfermarkt.com/mihaita-pocoaie/profil/spieler/1438912,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Milan-Marko Mihaila,SC Melk,Portar,,17,Austria,,https://www.transfermarkt.com/milan-marko-mihaila/profil/spieler/1273725,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Mircea Diaconita,Inter Hamburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/mircea-diaconita/profil/spieler/1077070,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Mircea Erciu,FC Grabs,Mijlocaș,,37,Elveția,,https://www.transfermarkt.com/mircea-erciu/profil/spieler/516396,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Mircea Gurzo,FC Sulz II,Portar,,42,Austria,,https://www.transfermarkt.com/mircea-gurzo/profil/spieler/678791,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Mircea Popa,SG Michendorf,Mijlocaș,,,Germania,,https://www.transfermarkt.com/mircea-popa/profil/spieler/1024644,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Mircea-Oliviu Vacaru,SV 1965 Erlenbach,Mijlocaș ofensiv,,29,Germania,,https://www.transfermarkt.com/mircea-oliviu-vacaru/profil/spieler/464128,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Mirel Drăguț,FSV Taunusstein,Fundaș,,38,Germania,,https://www.transfermarkt.com/mirel-dragut/profil/spieler/587175,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Miroslav-Bozidar Muselin,SPG Hirm/Zillingtal,Fundaș,,18,Austria,,https://www.transfermarkt.com/miroslav-bozidar-muselin/profil/spieler/1438670,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Moise Floarea,CD Castellón Youth,Atacant central,,16,Spania,,https://www.transfermarkt.com/moise-floarea/profil/spieler/1317222,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Moise Jurja,SV Holzkirchen,Mijlocaș,,26,Germania,,https://www.transfermarkt.com/moise-jurja/profil/spieler/394234,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Narcis-Cosmin Preda,FC Elmshorn,Mijlocaș,,26,Germania,Landesliga Hammonia,https://www.transfermarkt.com/narcis-cosmin-preda/profil/spieler/905300,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Nelu Răuță,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/nelu-rauta/profil/spieler/1110537,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Nico Cocuz,SC Caronnese,Mijlocaș defensiv,,29,Italia,,https://www.transfermarkt.com/nico-cocuz/profil/spieler/671983,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Nico Sofiu,Giants Grave,Mijlocaș dreapta,,22,Țara Galilor,,https://www.transfermarkt.com/nico-sofiu/profil/spieler/838775,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/191
Nicola Oncu,ASV Siegendorf II,Atacant,,22,Austria,,https://www.transfermarkt.com/nicola-oncu/profil/spieler/1268708,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Nicolae Graur,SG Malberg/Rosenheim,Atacant,,25,Germania,Rheinlandliga,https://www.transfermarkt.com/nicolae-graur/profil/spieler/1290271,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Nicolae Nechita,TSV Gaimersheim,Mijlocaș,,28,Germania,,https://www.transfermarkt.com/nicolae-nechita/profil/spieler/500944,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Nicolae Oltean,SC Germania Nürnberg,Fundaș dreapta,,42,Germania,,https://www.transfermarkt.com/nicolae-oltean/profil/spieler/212689,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Nicolae Stefan,SV Rot-Weiss Wittlich II,Fundaș dreapta,,35,Germania,,https://www.transfermarkt.com/nicolae-stefan/profil/spieler/609894,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Nicolae-Augustin Apostol,FC Kronach,Atacant central,,26,Germania,,https://www.transfermarkt.com/nicolae-augustin-apostol/profil/spieler/1042627,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Nicolae-Petrisor Pop,SV Blindenmarkt,Mijlocaș,,40,Austria,,https://www.transfermarkt.com/nicolae-petrisor-pop/profil/spieler/1281046,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Nicolas Anghel,CD Castellón Youth,Fundaș central,,16,Spania,,https://www.transfermarkt.com/nicolas-anghel/profil/spieler/1398647,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Nicolas Blaj,Monza Under 17,Fundaș dreapta,,16,Italia,Campionato nazionale Under 17 - B,https://www.transfermarkt.com/nicolas-blaj/profil/spieler/1398646,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Nicolas Boianjicov,Frosinone Under 18,Portar,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/nicolas-boianjicov/profil/spieler/1501383,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Nicolas Meșter,KAA Gent Youth,Extremă dreapta,,17,Belgia,,https://www.transfermarkt.com/nicolas-mester/profil/spieler/1261069,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/19
Nicolas Mocanu,Derthona FBC,Fundaș,,17,Italia,Serie D - Girone A,https://www.transfermarkt.com/nicolas-mocanu/profil/spieler/1539224,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
Nicolas Mușat,Hellas Verona Primavera,Atacant central,,18,Italia,Primavera 1,https://www.transfermarkt.com/nicolas-musat/profil/spieler/1380369,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Nicolas Reut,AS Nancy-Lorraine U19,Mijlocaș central,,17,Franța,Championnat National U19 - Groupe B,https://www.transfermarkt.com/nicolas-reut/profil/spieler/1348582,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Nicolas Rogoz,Juventus Under 18,Fundaș central,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/nicolas-rogoz/profil/spieler/1327486,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Nicolos Esanu,Hellas Under 17,Fundaș central,,16,Italia,Campionato nazionale Under 17 - B,https://www.transfermarkt.com/nicolos-esanu/profil/spieler/1595268,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
Nikola Petrovic,1. SC Kalksburg/Rodaun,Mijlocaș,,23,Austria,,https://www.transfermarkt.com/nikola-petrovic/profil/spieler/1025476,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Noe-Samuel Băcanu,1.FC Wilmersdorf,Mijlocaș,,19,Germania,Berlin-Liga,https://www.transfermarkt.com/noe-samuel-bacanu/profil/spieler/1445042,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Octavian Drăgan,TSV Großhadern,Mijlocaș ofensiv,,40,Germania,,https://www.transfermarkt.com/octavian-dragan/profil/spieler/212851,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Octavian Potcoavă,SC Willingen,Portar,,27,Germania,,https://www.transfermarkt.com/octavian-potcoava/profil/spieler/435695,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Oleksii Gongalschi,Druzstevnik Liptovska Stiavnica,Fundaș,,23,Slovacia,,https://www.transfermarkt.com/oleksii-gongalschi/profil/spieler/1315889,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/154
Oluwafemi Williams,OSC Bremerhaven II,Portar,,33,Germania,,https://www.transfermarkt.com/oluwafemi-williams/profil/spieler/364701,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Otto Takacs,Csenger FC,Extremă stânga,,20,Ungaria,,https://www.transfermarkt.com/otto-takacs/profil/spieler/988357,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Ovidiu Mihai,FC Igenhausen,Atacant,,31,Germania,,https://www.transfermarkt.com/ovidiu-mihai/profil/spieler/341117,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Ovidiu Sterian,TSV Bernhausen,Fundaș central,,22,Germania,,https://www.transfermarkt.com/ovidiu-sterian/profil/spieler/976496,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Ovidiu-Adrian Tudoran,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/ovidiu-adrian-tudoran/profil/spieler/1110532,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Patrick Pîrv de Godoy,Mantova Primavera,Fundaș central,,18,Italia,Primavera 2 - A,https://www.transfermarkt.com/patrick-pirv-de-godoy/profil/spieler/1316253,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Patrik Braun,VfB Waldshut,Mijlocaș,,29,Germania,,https://www.transfermarkt.com/patrik-braun/profil/spieler/1040417,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Paul Bursuc,VfB Pößneck,Atacant,,39,Germania,,https://www.transfermarkt.com/paul-bursuc/profil/spieler/815713,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Paul Costea,FC Türk Sport Garching,Mijlocaș stânga,,27,Germania,,https://www.transfermarkt.com/paul-costea/profil/spieler/599465,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Paul Jivan,SC Türk Gücü Darmstadt,Portar,,37,Germania,,https://www.transfermarkt.com/paul-jivan/profil/spieler/104183,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Paul Luca,SC Danubius Waldkraiburg,Fundaș,,,Germania,,https://www.transfermarkt.com/paul-luca/profil/spieler/729766,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Paul Pohrib,Vicenza Primavera,Fundaș central,,16,Italia,Primavera 2 - A,https://www.transfermarkt.com/paul-pohrib/profil/spieler/1459647,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Paul Tulbure,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/paul-tulbure/profil/spieler/991585,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Paul Valentin,CD Utrillas,Extremă stânga,,25,Spania,,https://www.transfermarkt.com/paul-valentin/profil/spieler/1154976,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Paul-Darko Vătav,ESC Rellinghausen 06,Atacant secund,,19,Germania,Landesliga Niederrhein - Gruppe 2,https://www.transfermarkt.com/paul-darko-vatav/profil/spieler/1162988,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Paul-Gabriel Fleșeriu,Victoria Clarholz,Portar,,19,Germania,Oberliga Westfalen,https://www.transfermarkt.com/paul-gabriel-fleseriu/profil/spieler/1047414,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Pavel-Zoltan Vajda,SC Viktoria Nidda,Portar,,32,Germania,,https://www.transfermarkt.com/pavel-zoltan-vajda/profil/spieler/1140913,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Péter Berki,BFC Siófok,Atacant central,,37,Ungaria,,https://www.transfermarkt.com/peter-berki/profil/spieler/159182,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Petre Stîngaciu,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/petre-stingaciu/profil/spieler/1112008,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Petrica Dragos,TSU Jeging,Atacant central,,37,Austria,,https://www.transfermarkt.com/petrica-dragos/profil/spieler/212681,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Philipp Hallmen,ST Kraiberg,Atacant central,,35,Germania,,https://www.transfermarkt.com/philipp-hallmen/profil/spieler/168274,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Radoie Milenovici,SV Jugendkraft Albrechts,Portar,,39,Germania,,https://www.transfermarkt.com/radoie-milenovici/profil/spieler/46595,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Radu Chiriță,Turriff Thistle FC,Portar,,34,Scoția,,https://www.transfermarkt.com/radu-chirita/profil/spieler/192863,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/190
Radu Nicolae Prepeliță,Delbrücker SC,Atacant central,,23,Germania,,https://www.transfermarkt.com/radu-nicolae-prepelita/profil/spieler/1046628,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Radu Ovidiu,B68 Toftir II,Fundaș,,,Insulele Feroe,,https://www.transfermarkt.com/radu-ovidiu/profil/spieler/1149098,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/208
Radu Petre,WAF Brigittenau,Portar,,20,Austria,Wiener Stadtliga,https://www.transfermarkt.com/radu-petre/profil/spieler/949260,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Radu-Abiel Cifor,Klagenfurter AC 1909,Fundaș,,16,Austria,Kärntner Liga,https://www.transfermarkt.com/radu-abiel-cifor/profil/spieler/1545451,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/4
Radu-Adrian Lupu,SV Naunhof 1920 II,Atacant,,24,Germania,,https://www.transfermarkt.com/radu-adrian-lupu/profil/spieler/1044481,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Raducu-Dumitru Poenaru,Hamburg Hurricanes,Mijlocaș,,,Germania,,https://www.transfermarkt.com/raducu-dumitru-poenaru/profil/spieler/1289162,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Rafael Fuleki,AS Saint-Étienne Youth,Portar,,17,Franța,,https://www.transfermarkt.com/rafael-fuleki/profil/spieler/1178725,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Raffael Mangu,Sportfreunde Grißheim,Atacant,,31,Germania,,https://www.transfermarkt.com/raffael-mangu/profil/spieler/464100,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Rajmund Niczuly,Cigánd SE,Portar,,22,Ungaria,,https://www.transfermarkt.com/rajmund-niczuly/profil/spieler/1012942,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Rany Motoi,Cremonese Under 17,Fundaș central,,16,Italia,Campionato Under 17 - A,https://www.transfermarkt.com/rany-motoi/profil/spieler/1515071,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Raoul Mal,Unitas Sciacca Calcio,Mijlocaș ofensiv,,26,Italia,,https://www.transfermarkt.com/raoul-mal/profil/spieler/393552,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Rareș Aenoaei,FC Igenhausen,Fundaș,,38,Germania,,https://www.transfermarkt.com/rares-aenoaei/profil/spieler/277756,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Rareș Băldean,SV 08 Laufenburg II,Mijlocaș,,26,Germania,,https://www.transfermarkt.com/rares-baldean/profil/spieler/840199,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Rareș Coman,Sassuolo Primavera,Mijlocaș central,,18,Italia,Primavera 1,https://www.transfermarkt.com/rares-coman/profil/spieler/1170998,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Rareș Duțan,Hellas Verona Under 18,Extremă stânga,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/rares-dutan/profil/spieler/1592674,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
Rareș Joițoiu,SV Munzingen,Fundaș central,,22,Germania,,https://www.transfermarkt.com/rares-joitoiu/profil/spieler/1060399,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Rareș Silitră,Borussia Mönchengladbach U19,Atacant central,,17,Germania,U19 DFB-Nachwuchsliga - Vorrunde Gruppe G,https://www.transfermarkt.com/rares-silitra/profil/spieler/1234948,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Rareș Tomoiagă,Union Saint-Gilloise U18,Fundaș stânga,,19,Belgia,,https://www.transfermarkt.com/rares-tomoiaga/profil/spieler/1230461,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/19
Rareș Vlad,UD Ibiza,Portar,,20,Spania,Primera Federación - Grupo II,https://www.transfermarkt.com/rares-vlad/profil/spieler/1388066,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Raul Andrei Drăgescu,Padova Primavera,Fundaș,,17,Italia,Primavera 2 - A,https://www.transfermarkt.com/raul-andrei-dragescu/profil/spieler/1439309,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Raul Avram,Lazio U20,Fundaș dreapta,,17,Italia,Primavera 1,https://www.transfermarkt.com/raul-avram/profil/spieler/1456072,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Raul Cojocariu,Atalanta Primavera,Fundaș central,,18,Italia,Primavera 1,https://www.transfermarkt.com/raul-cojocariu/profil/spieler/1237612,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Raul Coprean,Polisportiva Puglianello,Portar,,21,Italia,,https://www.transfermarkt.com/raul-coprean/profil/spieler/930607,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Raul Crișan,SV Ornbau,Fundaș central,,38,Germania,,https://www.transfermarkt.com/raul-crisan/profil/spieler/175978,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Raul Doda,SC Viktoria Nidda,Fundaș,,29,Germania,,https://www.transfermarkt.com/raul-doda/profil/spieler/396851,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Raul Gogonea,FC Teningen,Extremă stânga,,19,Germania,Oberliga Baden-Württemberg,https://www.transfermarkt.com/raul-gogonea/profil/spieler/1159504,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Raul Matei,Virtus Entella Under 17,Mijlocaș ofensiv,,16,Italia,Campionato Under 17 - A,https://www.transfermarkt.com/raul-matei/profil/spieler/1339999,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Raul Pîrvu,SC Nebikon,Portar,,26,Elveția,,https://www.transfermarkt.com/raul-pirvu/profil/spieler/1191422,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Raul Savu,SV Sparta Werlte,Mijlocaș,,18,Germania,,https://www.transfermarkt.com/raul-savu/profil/spieler/1562180,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Raul Simian,FC Neufahrn i.NB,Extremă stânga,,29,Germania,,https://www.transfermarkt.com/raul-simian/profil/spieler/1005921,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Raul Szabo,Pietrasanta ASD,Mijlocaș ofensiv,,25,Italia,,https://www.transfermarkt.com/raul-szabo/profil/spieler/645084,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Raul Vancea,Watford FC U21,Fundaș stânga,,18,Anglia,,https://www.transfermarkt.com/raul-vancea/profil/spieler/1221598,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Raul Vereș,Las Rozas CF,Mijlocaș central,,19,Spania,,https://www.transfermarkt.com/raul-veres/profil/spieler/1479598,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Raul-Lucian Chira,Türkspor Mannheim,Portar,,39,Germania,,https://www.transfermarkt.com/raul-lucian-chira/profil/spieler/642048,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Razvan-Petrut Romasc,BSG Wismut Gera,Atacant,,,Germania,,https://www.transfermarkt.com/razvan-petrut-romasc/profil/spieler/1414400,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Răzvan Dobricean,VfB Bösingen,Mijlocaș ofensiv,,35,Germania,,https://www.transfermarkt.com/razvan-dobricean/profil/spieler/208712,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Răzvan Duma,FC Dynamo Erkelenz,Atacant,,21,Germania,,https://www.transfermarkt.com/razvan-duma/profil/spieler/1449900,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Răzvan Farcaș,CD Leganés U19,Portar,,18,Spania,,https://www.transfermarkt.com/razvan-farcas/profil/spieler/1132535,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Răzvan Marian,FC Unterföhring,Mijlocaș,,19,Germania,Landesliga Bayern Südost,https://www.transfermarkt.com/razvan-marian/profil/spieler/1411860,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Răzvan Moldoveanu,Ratingen 04/19 II,Mijlocaș,,24,Germania,,https://www.transfermarkt.com/razvan-moldoveanu/profil/spieler/926506,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Răzvan Mureșan,Florentia San Gimignano,Extremă stânga,,21,Italia,,https://www.transfermarkt.com/razvan-muresan/profil/spieler/995072,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Răzvan Ochiroșii,CD Palencia Cristo Atlético,Fundaș stânga,,37,Spania,,https://www.transfermarkt.com/razvan-ochirosii/profil/spieler/43761,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Răzvan Popa,Umutspor Troisdorf,Portar,,39,Germania,,https://www.transfermarkt.com/razvan-popa/profil/spieler/950558,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Răzvan-Marian Haloni,Geestemünder TV,Atacant,,23,Germania,,https://www.transfermarkt.com/razvan-marian-haloni/profil/spieler/1180435,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Remus Mangalagiu,Atlas S.Stefano,Mijlocaș central,,25,Italia,,https://www.transfermarkt.com/remus-mangalagiu/profil/spieler/582702,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Remus-Ionel Pruteanu,Lauenburger SV,Fundaș,,,Germania,,https://www.transfermarkt.com/remus-ionel-pruteanu/profil/spieler/913926,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Renaldo Bălașa,SV Viktoria Herxheim,Mijlocaș stânga,,31,Germania,Verbandsliga Südwest,https://www.transfermarkt.com/renaldo-balasa/profil/spieler/606749,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Renato Imbrea,ASD AC Corva,Fundaș central,,26,Italia,,https://www.transfermarkt.com/renato-imbrea/profil/spieler/397230,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Ricardo Filip,AS Verzaschesi,Portar,,28,Elveția,,https://www.transfermarkt.com/ricardo-filip/profil/spieler/1115102,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Riccardo Cracaoanu,Anzio Calcio 1924,Mijlocaș central,,18,Italia,Serie D - Girone G,https://www.transfermarkt.com/riccardo-cracaoanu/profil/spieler/1571496,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
Riccardo Radu,Juventus Next Gen,Portar,,19,Italia,Serie C - Girone A,https://www.transfermarkt.com/riccardo-radu/profil/spieler/1124104,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Richard Cin,TSV Hohenfels,Mijlocaș central,,22,Germania,,https://www.transfermarkt.com/richard-cin/profil/spieler/1071640,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Robert Ambrosie,SK Asten,Fundaș dreapta,,33,Austria,,https://www.transfermarkt.com/robert-ambrosie/profil/spieler/524162,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Robert Bâră,TSV Allmendingen,Mijlocaș ofensiv,,39,Germania,,https://www.transfermarkt.com/robert-bara/profil/spieler/207121,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Robert Burcea,Korsnäs FF,Fundaș dreapta,,27,Finland,,https://www.transfermarkt.com/robert-burcea/profil/spieler/383226,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/49
Robert Cenușă,SV Viktoria Herxheim,Extremă stânga,,19,Germania,Verbandsliga Südwest,https://www.transfermarkt.com/robert-cenusa/profil/spieler/1278393,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
